refdes,manufacturer,part_number,package,value
V1,synthetic,SRC-12V,fixture,12V
R1,synthetic,RSRC-0R1,0603,0.1
C1,synthetic,CAP-10U,0805,10u
U1,Generated,BM_REG_BUCK,behavioral,12V->3V3
C2,synthetic,CAP-47U,1210,47u
R3,synthetic,RES-75K,0603,75k
R4,synthetic,RES-10K,0603,10k
R5,synthetic,RES-10K,0603,10k
R6,synthetic,RES-3K16,0603,3.16k
U2,Generated,BM_REG_LDO,behavioral,3V3->1V8
C3,synthetic,CAP-22U,0805,22u
R7,synthetic,RES-20K,0603,20k
R8,synthetic,RES-10K,0603,10k
R9,synthetic,RES-8K06,0603,8.06k
U3,Generated,BM_PG,behavioral,supervisor-3V3
U4,Generated,BM_PG,behavioral,supervisor-1V8
R12,synthetic,RES-10K,0603,10k
U5,synthetic,SYNTH-PCIE-SW-0,SYNTH-BGA-64,SYNTH-PCIE-SW-0
R13,synthetic,RES-10K,0603,10k
R14,synthetic,RES-10K,0603,10k
R15,synthetic,RES-10K,0603,10k
R16,synthetic,RES-10K,0603,10k
R17,synthetic,RES-10K,0603,10k
R18,synthetic,RES-10K,0603,10k
R19,synthetic,RES-10K,0603,10k
I1,Generated,BM_LOAD,behavioral,3V3-load
I2,Generated,BM_LOAD,behavioral,1V8-load
V2,synthetic,CLK-100M,fixture,100MHz
