refdes,physical_pin,net_name
V1,+,VIN_12V_SRC
V1,-,GND
R1,A,VIN_12V_SRC
R1,B,12V
C1,1,12V
C1,2,GND
U1,VIN,12V
U1,EN,EN_U1
U1,FB,FB_U1
U1,PG,PG_3V3
U1,VOUT,3V3
U1,GND,GND
U1,SW,SW_U1
U1,ILIM_MODE,GND
C2,1,3V3
C2,2,GND
R3,A,12V
R3,B,EN_U1
R4,A,EN_U1
R4,B,GND
R5,A,3V3
R5,B,FB_U1
R6,A,FB_U1
R6,B,GND
U2,VIN,3V3
U2,EN,PG_3V3
U2,FB,FB_U2
U2,PG,PG_1V8
U2,VOUT,1V8
U2,GND,GND
C3,1,1V8
C3,2,GND
R7,A,PG_3V3
R7,B,3V3
R8,A,1V8
R8,B,FB_U2
R9,A,FB_U2
R9,B,GND
U3,pg_in,PG_3V3
U3,out,PERST_N
U3,vdd,3V3
U3,vss,GND
U4,pg_in,PG_1V8
U4,out,PERST_N
U4,vdd,3V3
U4,vss,GND
R12,A,PERST_N
R12,B,3V3
U5,3V3_IN,3V3
U5,1V8_IN,1V8
U5,GND,GND
U5,PERST_N,PERST_N
U5,CONFIG0,CONFIG0
U5,CONFIG1,CONFIG1
U5,CONFIG2,CONFIG2
U5,SMB_CLK,SMB_CLK
U5,SMB_DAT,SMB_DAT
U5,CLK_REQ_N,CLK_REQ_N
U5,REFCLK_100M,REFCLK_100M
R13,A,1V8
R13,B,CONFIG0
R14,A,CONFIG1
R14,B,GND
R15,A,1V8
R15,B,CONFIG2
R16,A,SMB_CLK
R16,B,3V3
R17,A,SMB_DAT
R17,B,3V3
R18,A,CLK_REQ_N
R18,B,3V3
R19,A,PG_1V8
R19,B,3V3
I1,out,3V3
I1,vss,GND
I2,out,1V8
I2,vss,GND
V2,+,REFCLK_100M
V2,-,GND
