refdes,physical_pin,name,direction,polarity,supply_domain,output_topology,connection_requirement,unused_pin_treatment
V1,+,+,power,not_applicable,,power,required,
V1,-,-,ground,not_applicable,,power,required,
R1,1,A,power,not_applicable,,power,required,
R1,2,B,power,not_applicable,,power,required,
C1,1,1,power,not_applicable,12V,power,required,
C1,2,2,ground,not_applicable,,power,required,
U1,VIN,VIN,power,not_applicable,12V,power,required,
U1,EN,EN,input,active_high,12V,input_only,required,
U1,FB,FB,input,not_applicable,,input_only,required,
U1,PG,PG,output,active_low,3V3,open_drain,required,leave open
U1,VOUT,VOUT,output,not_applicable,3V3,push_pull,required,
U1,GND,GND,ground,not_applicable,,power,required,
U1,SW,SW,output,not_applicable,,push_pull,optional,leave open
U1,ILIM_MODE,ILIM_MODE,input,not_applicable,,input_only,optional,tie to a defined level
C2,1,1,power,not_applicable,3V3,power,required,
C2,2,2,ground,not_applicable,,power,required,
R3,1,A,power,not_applicable,,power,required,
R3,2,B,power,not_applicable,,power,required,
R4,1,A,power,not_applicable,,power,required,
R4,2,B,power,not_applicable,,power,required,
R5,1,A,power,not_applicable,,power,required,
R5,2,B,power,not_applicable,,power,required,
R6,1,A,power,not_applicable,,power,required,
R6,2,B,power,not_applicable,,power,required,
U2,VIN,VIN,power,not_applicable,3V3,power,required,
U2,EN,EN,input,active_high,3V3,input_only,required,
U2,FB,FB,input,not_applicable,,input_only,required,
U2,PG,PG,output,active_low,3V3,open_drain,required,leave open
U2,VOUT,VOUT,output,not_applicable,1V8,push_pull,required,
U2,GND,GND,ground,not_applicable,,power,required,
C3,1,1,power,not_applicable,1V8,power,required,
C3,2,2,ground,not_applicable,,power,required,
R7,1,A,power,not_applicable,,power,required,
R7,2,B,power,not_applicable,,power,required,
R8,1,A,power,not_applicable,,power,required,
R8,2,B,power,not_applicable,,power,required,
R9,1,A,power,not_applicable,,power,required,
R9,2,B,power,not_applicable,,power,required,
U3,pg_in,pg_in,input,active_high,3V3,input_only,required,
U3,out,out,output,active_low,3V3,open_drain,required,leave open
U3,vdd,vdd,power,not_applicable,3V3,power,required,
U3,vss,vss,ground,not_applicable,,power,required,
U4,pg_in,pg_in,input,active_high,3V3,input_only,required,
U4,out,out,output,active_low,3V3,open_drain,required,leave open
U4,vdd,vdd,power,not_applicable,3V3,power,required,
U4,vss,vss,ground,not_applicable,,power,required,
R12,1,A,power,not_applicable,,power,required,
R12,2,B,power,not_applicable,,power,required,
R13,1,A,power,not_applicable,,power,required,
R13,2,B,power,not_applicable,,power,required,
R14,1,A,power,not_applicable,,power,required,
R14,2,B,power,not_applicable,,power,required,
R15,1,A,power,not_applicable,,power,required,
R15,2,B,power,not_applicable,,power,required,
R16,1,A,power,not_applicable,,power,required,
R16,2,B,power,not_applicable,,power,required,
R17,1,A,power,not_applicable,,power,required,
R17,2,B,power,not_applicable,,power,required,
R18,1,A,power,not_applicable,,power,required,
R18,2,B,power,not_applicable,,power,required,
R19,1,A,power,not_applicable,,power,required,
R19,2,B,power,not_applicable,,power,required,
I1,out,out,power,not_applicable,3V3,power,required,
I1,vss,vss,ground,not_applicable,,power,required,
I2,out,out,power,not_applicable,1V8,power,required,
I2,vss,vss,ground,not_applicable,,power,required,
V2,+,+,output,not_applicable,,push_pull,required,
V2,-,-,ground,not_applicable,,power,required,
