refdes,physical_pin,name,direction,polarity,supply_domain,output_topology,connection_requirement,unused_pin_treatment
U1,1,3V3_IN,power,not_applicable,3V3,power,required,
U1,2,3V3_IN,power,not_applicable,3V3,power,required,
U1,3,1V8_IN,power,not_applicable,1V8,power,required,
U1,4,1V8_IN,power,not_applicable,1V8,power,required,
U1,5,GND,ground,not_applicable,,power,required,
U1,6,GND,ground,not_applicable,,power,required,
U1,7,GND,ground,not_applicable,,power,required,
U1,8,GND,ground,not_applicable,,power,required,
U1,9,PERST_N,input,active_low,3V3,input_only,required,never leave floating
U1,10,CONFIG0,input,not_applicable,1V8,input_only,required,tie to a defined level
U1,11,CONFIG1,input,not_applicable,1V8,input_only,required,tie to a defined level
U1,12,CONFIG2,input,not_applicable,1V8,input_only,required,tie to a defined level
U1,13,SMB_CLK,bidir,not_applicable,3V3,open_drain,required,leave open
U1,14,SMB_DAT,bidir,not_applicable,3V3,open_drain,required,leave open
U1,15,CLK_REQ_N,output,active_low,3V3,open_drain,optional,leave open
U1,16,REFCLK_100M,input,not_applicable,,input_only,required,
U1,17,LANE0_TX_P,output,not_applicable,,unknown,required,
U1,18,LANE0_TX_N,output,not_applicable,,unknown,required,
U1,19,LANE0_RX_P,input,not_applicable,,input_only,required,
U1,20,LANE0_RX_N,input,not_applicable,,input_only,required,
